1. (ID: 3019, Score: 740)
184. (ID: 4064, Score: 500)
185. (ID: 2074, Score: 500)
186. (ID: 1027, Score: 499)
187. (ID: 2021, Score: 498)
188. (ID: 13, Score: 498)
189. (ID: 11, Score: 497)
190. (ID: 4065, Score: 496)
191. (ID: 3080, Score: 496)
192. (ID: 2033, Score: 495)
193. (ID: 2032, Score: 494)
194. (ID: 23, Score: 494)
195. (ID: 12, Score: 494)
196. (ID: 51, Score: 493)
197. (ID: 4038, Score: 492)
198. (ID: 4013, Score: 492)
199. (ID: 1, Score: 492)
200. (ID: 2028, Score: 491)
201. (ID: 2082, Score: 491)
202. (ID: 3050, Score: 489)
203. (ID: 2059, Score: 489)
204. (ID: 2077, Score: 487)
205. (ID: 2024, Score: 487)
206. (ID: 4058, Score: 486)
207. (ID: 3087, Score: 486)
208. (ID: 3030, Score: 485)
209. (ID: 3053, Score: 484)
210. (ID: 3033, Score: 484)
211. (ID: 4075, Score: 483)
212. (ID: 4018, Score: 482)
213. (ID: 1019, Score: 482)
214. (ID: 4034, Score: 480)
215. (ID: 4016, Score: 480)
216. (ID: 2093, Score: 479)
217. (ID: 55, Score: 478)
218. (ID: 4071, Score: 477)
219. (ID: 2037, Score: 477)
220. (ID: 1026, Score: 477)
221. (ID: 2099, Score: 476)
222. (ID: 1063, Score: 476)
223. (ID: 1057, Score: 476)
224. (ID: 1074, Score: 475)
225. (ID: 4087, Score: 474)
226. (ID: 4081, Score: 474)
227. (ID: 4025, Score: 474)
228. (ID: 3049, Score: 474)
229. (ID: 2038, Score: 474)
230. (ID: 3092, Score: 473)
231. (ID: 3055, Score: 473)
232. (ID: 2094, Score: 473)
233. (ID: 3002, Score: 472)
234. (ID: 1040, Score: 471)
235. (ID: 1028, Score: 470)
236. (ID: 3065, Score: 469)
237. (ID: 2067, Score: 467)
238. (ID: 1002, Score: 467)
239. (ID: 83, Score: 467)
240. (ID: 25, Score: 465)
241. (ID: 4078, Score: 464)
242. (ID: 3032, Score: 464)
243. (ID: 2048, Score: 464)
244. (ID: 2043, Score: 464)
245. (ID: 3043, Score: 463)
246. (ID: 30, Score: 463)
247. (ID: 18, Score: 463)
248. (ID: 3036, Score: 462)
249. (ID: 3023, Score: 462)
250. (ID: 4024, Score: 460)
251. (ID: 4052, Score: 459)
252. (ID: 4047, Score: 459)
253. (ID: 4002, Score: 459)
254. (ID: 4082, Score: 459)
255. (ID: 3070, Score: 459)
256. (ID: 3038, Score: 459)
257. (ID: 3007, Score: 457)
258. (ID: 2078, Score: 456)
259. (ID: 2065, Score: 456)
260. (ID: 3072, Score: 455)
261. (ID: 3025, Score: 454)
262. (ID: 38, Score: 453)
263. (ID: 4019, Score: 452)
264. (ID: 4008, Score: 451)
265. (ID: 4063, Score: 450)
266. (ID: 2056, Score: 450)
267. (ID: 3054, Score: 449)
268. (ID: 75, Score: 449)
269. (ID: 3008, Score: 448)
270. (ID: 2075, Score: 448)
271. (ID: 1064, Score: 448)
272. (ID: 58, Score: 448)
273. (ID: 3061, Score: 446)
274. (ID: 1036, Score: 446)
275. (ID: 68, Score: 444)
276. (ID: 2091, Score: 443)
277. (ID: 3066, Score: 442)
278. (ID: 59, Score: 442)
279. (ID: 3015, Score: 441)
280. (ID: 3027, Score: 441)
281. (ID: 1025, Score: 441)
282. (ID: 4049, Score: 440)
283. (ID: 3010, Score: 439)
284. (ID: 1065, Score: 439)
285. (ID: 2005, Score: 437)
286. (ID: 45, Score: 436)
287. (ID: 3079, Score: 435)
288. (ID: 33, Score: 435)
289. (ID: 2034, Score: 434)
290. (ID: 3024, Score: 433)
291. (ID: 3017, Score: 433)
292. (ID: 2013, Score: 433)
293. (ID: 1076, Score: 433)
294. (ID: 1068, Score: 432)
295. (ID: 64, Score: 432)
296. (ID: 71, Score: 431)
297. (ID: 5, Score: 431)
298. (ID: 4067, Score: 429)
299. (ID: 2025, Score: 428)
300. (ID: 39, Score: 428)
301. (ID: 3039, Score: 427)
302. (ID: 1041, Score: 426)
303. (ID: 29, Score: 426)
304. (ID: 4072, Score: 425)
305. (ID: 1073, Score: 425)
306. (ID: 4007, Score: 423)
307. (ID: 2095, Score: 422)
308. (ID: 1050, Score: 422)
309. (ID: 34, Score: 419)
310. (ID: 3075, Score: 416)
311. (ID: 4023, Score: 415)
312. (ID: 2003, Score: 415)
313. (ID: 15, Score: 412)
314. (ID: 4029, Score: 411)
315. (ID: 73, Score: 410)
316. (ID: 4059, Score: 409)
317. (ID: 1046, Score: 408)
318. (ID: 4027, Score: 405)
319. (ID: 2073, Score: 405)
320. (ID: 66, Score: 405)
321. (ID: 3016, Score: 404)
322. (ID: 2081, Score: 404)
323. (ID: 1079, Score: 404)
324. (ID: 3086, Score: 400)
325. (ID: 1005, Score: 400)
326. (ID: 43, Score: 399)
327. (ID: 56, Score: 399)
328. (ID: 3012, Score: 397)
329. (ID: 2054, Score: 397)
330. (ID: 1001, Score: 393)
331. (ID: 4077, Score: 392)
332. (ID: 3090, Score: 392)
333. (ID: 2058, Score: 391)
334. (ID: 3089, Score: 389)
335. (ID: 3003, Score: 388)
336. (ID: 2079, Score: 387)
337. (ID: 81, Score: 387)
338. (ID: 4011, Score: 386)
339. (ID: 2092, Score: 385)
340. (ID: 3068, Score: 384)
341. (ID: 2010, Score: 384)
342. (ID: 3060, Score: 378)
343. (ID: 4037, Score: 376)
344. (ID: 1058, Score: 376)
345. (ID: 20, Score: 376)
346. (ID: 3051, Score: 373)
347. (ID: 65, Score: 373)
348. (ID: 4042, Score: 372)
349. (ID: 2047, Score: 371)
350. (ID: 4060, Score: 369)
351. (ID: 4031, Score: 369)
352. (ID: 2050, Score: 369)
353. (ID: 2070, Score: 367)
354. (ID: 28, Score: 367)
355. (ID: 4012, Score: 365)
356. (ID: 4039, Score: 365)
357. (ID: 3018, Score: 363)
358. (ID: 2044, Score: 363)
359. (ID: 4044, Score: 361)
360. (ID: 1070, Score: 361)
361. (ID: 4021, Score: 360)
362. (ID: 1039, Score: 360)
363. (ID: 2066, Score: 359)
364. (ID: 1042, Score: 359)
365. (ID: 1023, Score: 357)
366. (ID: 1010, Score: 356)
367. (ID: 3059, Score: 353)
368. (ID: 2083, Score: 352)
369. (ID: 4084, Score: 350)
370. (ID: 4066, Score: 345)
371. (ID: 3045, Score: 344)
372. (ID: 4017, Score: 343)
373. (ID: 4003, Score: 341)
374. (ID: 4004, Score: 340)
375. (ID: 2023, Score: 340)
376. (ID: 19, Score: 329)
377. (ID: 4069, Score: 326)
378. (ID: 4085, Score: 324)
379. (ID: 35, Score: 315)
380. (ID: 4036, Score: 310)
381. (ID: 4006, Score: 306)
382. (ID: 4080, Score: 292)
383. (ID: 4074, Score: 259)
384. (ID: 3044, Score: 250)
385. (ID: 79, Score: 241)
