1. (ID: 48, Score: 738)
178. (ID: 1022, Score: 499)
179. (ID: 4, Score: 498)
180. (ID: 4098, Score: 497)
181. (ID: 3041, Score: 497)
182. (ID: 3028, Score: 497)
183. (ID: 2021, Score: 497)
184. (ID: 1011, Score: 496)
185. (ID: 59, Score: 496)
186. (ID: 4092, Score: 495)
187. (ID: 4026, Score: 495)
188. (ID: 2054, Score: 494)
189. (ID: 2044, Score: 494)
190. (ID: 2035, Score: 494)
191. (ID: 4018, Score: 493)
192. (ID: 54, Score: 493)
193. (ID: 4022, Score: 491)
194. (ID: 3015, Score: 488)
195. (ID: 4056, Score: 487)
196. (ID: 1050, Score: 487)
197. (ID: 4036, Score: 486)
198. (ID: 4023, Score: 486)
199. (ID: 2047, Score: 486)
200. (ID: 4060, Score: 485)
201. (ID: 3014, Score: 484)
202. (ID: 1051, Score: 484)
203. (ID: 12, Score: 484)
204. (ID: 3060, Score: 482)
205. (ID: 1055, Score: 482)
206. (ID: 1006, Score: 482)
207. (ID: 1001, Score: 482)
208. (ID: 70, Score: 482)
209. (ID: 4095, Score: 480)
210. (ID: 2068, Score: 480)
211. (ID: 2039, Score: 479)
212. (ID: 4043, Score: 478)
213. (ID: 3025, Score: 478)
214. (ID: 3070, Score: 478)
215. (ID: 1047, Score: 478)
216. (ID: 1052, Score: 477)
217. (ID: 1018, Score: 477)
218. (ID: 4082, Score: 476)
219. (ID: 1003, Score: 474)
220. (ID: 4078, Score: 473)
221. (ID: 4016, Score: 473)
222. (ID: 3047, Score: 472)
223. (ID: 1033, Score: 472)
224. (ID: 53, Score: 472)
225. (ID: 14, Score: 472)
226. (ID: 4048, Score: 471)
227. (ID: 3076, Score: 471)
228. (ID: 2002, Score: 471)
229. (ID: 25, Score: 471)
230. (ID: 4072, Score: 470)
231. (ID: 3012, Score: 470)
232. (ID: 82, Score: 470)
233. (ID: 81, Score: 470)
234. (ID: 2013, Score: 468)
235. (ID: 3017, Score: 466)
236. (ID: 4015, Score: 465)
237. (ID: 4081, Score: 463)
238. (ID: 2040, Score: 461)
239. (ID: 1067, Score: 461)
240. (ID: 18, Score: 461)
241. (ID: 73, Score: 460)
242. (ID: 4067, Score: 457)
243. (ID: 4042, Score: 457)
244. (ID: 77, Score: 456)
245. (ID: 3066, Score: 455)
246. (ID: 5, Score: 455)
247. (ID: 2008, Score: 454)
248. (ID: 1044, Score: 454)
249. (ID: 1089, Score: 453)
250. (ID: 33, Score: 453)
251. (ID: 3006, Score: 452)
252. (ID: 58, Score: 451)
253. (ID: 4065, Score: 450)
254. (ID: 4055, Score: 450)
255. (ID: 3045, Score: 450)
256. (ID: 2088, Score: 450)
257. (ID: 68, Score: 448)
258. (ID: 4090, Score: 447)
259. (ID: 4010, Score: 447)
260. (ID: 4073, Score: 445)
261. (ID: 1042, Score: 445)
262. (ID: 26, Score: 445)
263. (ID: 4037, Score: 444)
264. (ID: 84, Score: 444)
265. (ID: 34, Score: 442)
266. (ID: 2020, Score: 441)
267. (ID: 1035, Score: 441)
268. (ID: 3078, Score: 440)
269. (ID: 2082, Score: 440)
270. (ID: 2018, Score: 440)
271. (ID: 1037, Score: 440)
272. (ID: 4071, Score: 439)
273. (ID: 3054, Score: 437)
274. (ID: 2045, Score: 437)
275. (ID: 11, Score: 437)
276. (ID: 3038, Score: 436)
277. (ID: 38, Score: 436)
278. (ID: 3042, Score: 434)
279. (ID: 2031, Score: 434)
280. (ID: 1038, Score: 434)
281. (ID: 2037, Score: 432)
282. (ID: 31, Score: 432)
283. (ID: 4019, Score: 431)
284. (ID: 2057, Score: 431)
285. (ID: 43, Score: 431)
286. (ID: 4013, Score: 430)
287. (ID: 20, Score: 429)
288. (ID: 2075, Score: 428)
289. (ID: 2022, Score: 426)
290. (ID: 2019, Score: 426)
291. (ID: 1068, Score: 426)
292. (ID: 4083, Score: 422)
293. (ID: 4058, Score: 421)
294. (ID: 4051, Score: 421)
295. (ID: 3023, Score: 417)
296. (ID: 45, Score: 417)
297. (ID: 2064, Score: 416)
298. (ID: 1043, Score: 412)
299. (ID: 51, Score: 411)
300. (ID: 3065, Score: 410)
301. (ID: 3029, Score: 410)
302. (ID: 4002, Score: 409)
303. (ID: 4061, Score: 408)
304. (ID: 2070, Score: 408)
305. (ID: 2059, Score: 408)
306. (ID: 2007, Score: 408)
307. (ID: 30, Score: 407)
308. (ID: 2052, Score: 404)
309. (ID: 3019, Score: 403)
310. (ID: 4062, Score: 401)
311. (ID: 3072, Score: 401)
312. (ID: 37, Score: 401)
313. (ID: 1088, Score: 400)
314. (ID: 1070, Score: 400)
315. (ID: 4085, Score: 399)
316. (ID: 4084, Score: 399)
317. (ID: 3001, Score: 399)
318. (ID: 4049, Score: 398)
319. (ID: 69, Score: 396)
320. (ID: 4028, Score: 392)
321. (ID: 2080, Score: 391)
322. (ID: 3034, Score: 390)
323. (ID: 3075, Score: 388)
324. (ID: 2078, Score: 388)
325. (ID: 2034, Score: 388)
326. (ID: 1074, Score: 386)
327. (ID: 29, Score: 386)
328. (ID: 4087, Score: 385)
329. (ID: 44, Score: 385)
330. (ID: 2001, Score: 383)
331. (ID: 1085, Score: 382)
332. (ID: 23, Score: 379)
333. (ID: 76, Score: 375)
334. (ID: 1084, Score: 374)
335. (ID: 3020, Score: 363)
336. (ID: 2079, Score: 362)
337. (ID: 1072, Score: 360)
338. (ID: 1057, Score: 360)
339. (ID: 3033, Score: 357)
340. (ID: 2004, Score: 357)
341. (ID: 17, Score: 357)
342. (ID: 4006, Score: 355)
343. (ID: 2073, Score: 355)
344. (ID: 1054, Score: 352)
345. (ID: 1095, Score: 344)
346. (ID: 2027, Score: 343)
347. (ID: 4001, Score: 341)
348. (ID: 1030, Score: 340)
349. (ID: 1012, Score: 337)
350. (ID: 85, Score: 337)
351. (ID: 2066, Score: 336)
352. (ID: 2065, Score: 336)
353. (ID: 1082, Score: 336)
354. (ID: 52, Score: 334)
355. (ID: 3055, Score: 330)
356. (ID: 4088, Score: 329)
357. (ID: 2016, Score: 325)
358. (ID: 2009, Score: 325)
359. (ID: 4025, Score: 324)
360. (ID: 1046, Score: 319)
361. (ID: 27, Score: 311)
362. (ID: 4075, Score: 305)
363. (ID: 4086, Score: 303)
364. (ID: 1076, Score: 292)
365. (ID: 1049, Score: 292)
366. (ID: 4008, Score: 283)
367. (ID: 4012, Score: 275)
368. (ID: 1091, Score: 272)
