1. (ID: 48, Country: 1, Score: 738)
71. (ID: 3064, Country: 4, Score: 576)
72. (ID: 1080, Country: 2, Score: 574)
73. (ID: 2025, Country: 3, Score: 572)
74. (ID: 4030, Country: 5, Score: 572)
75. (ID: 2049, Country: 3, Score: 571)
76. (ID: 3058, Country: 4, Score: 571)
77. (ID: 4005, Country: 5, Score: 571)
78. (ID: 24, Country: 1, Score: 570)
79. (ID: 1034, Country: 2, Score: 570)
80. (ID: 1061, Country: 2, Score: 570)
81. (ID: 3052, Country: 4, Score: 570)
82. (ID: 4031, Country: 5, Score: 570)
83. (ID: 4050, Country: 5, Score: 570)
84. (ID: 1094, Country: 2, Score: 569)
85. (ID: 4091, Country: 5, Score: 569)
86. (ID: 2081, Country: 3, Score: 566)
87. (ID: 1056, Country: 2, Score: 565)
88. (ID: 1013, Country: 2, Score: 564)
89. (ID: 2058, Country: 3, Score: 561)
90. (ID: 3068, Country: 4, Score: 561)
91. (ID: 1078, Country: 2, Score: 560)
92. (ID: 3003, Country: 4, Score: 560)
93. (ID: 4004, Country: 5, Score: 559)
94. (ID: 4044, Country: 5, Score: 559)
95. (ID: 1016, Country: 2, Score: 555)
96. (ID: 1060, Country: 2, Score: 555)
97. (ID: 1075, Country: 2, Score: 555)
98. (ID: 71, Country: 1, Score: 554)
99. (ID: 2069, Country: 3, Score: 554)
100. (ID: 3, Country: 1, Score: 552)
101. (ID: 1026, Country: 2, Score: 552)
102. (ID: 3005, Country: 4, Score: 552)
103. (ID: 79, Country: 1, Score: 551)
104. (ID: 1066, Country: 2, Score: 551)
105. (ID: 3059, Country: 4, Score: 550)
106. (ID: 2011, Country: 3, Score: 549)
107. (ID: 2062, Country: 3, Score: 549)
108. (ID: 2, Country: 1, Score: 548)
109. (ID: 57, Country: 1, Score: 548)
110. (ID: 4047, Country: 5, Score: 547)
111. (ID: 1063, Country: 2, Score: 545)
112. (ID: 1087, Country: 2, Score: 545)
113. (ID: 1073, Country: 2, Score: 543)
114. (ID: 1014, Country: 2, Score: 542)
115. (ID: 3079, Country: 4, Score: 542)
116. (ID: 4041, Country: 5, Score: 542)
117. (ID: 2023, Country: 3, Score: 540)
118. (ID: 2006, Country: 3, Score: 537)
119. (ID: 1029, Country: 2, Score: 536)
120. (ID: 3030, Country: 4, Score: 536)
121. (ID: 75, Country: 1, Score: 534)
122. (ID: 2043, Country: 3, Score: 534)
123. (ID: 3053, Country: 4, Score: 534)
124. (ID: 36, Country: 1, Score: 533)
125. (ID: 1041, Country: 2, Score: 533)
126. (ID: 3073, Country: 4, Score: 533)
127. (ID: 55, Country: 1, Score: 532)
128. (ID: 4079, Country: 5, Score: 532)
129. (ID: 1009, Country: 2, Score: 531)
130. (ID: 1069, Country: 2, Score: 530)
131. (ID: 10, Country: 1, Score: 528)
132. (ID: 22, Country: 1, Score: 528)
133. (ID: 2077, Country: 3, Score: 527)
134. (ID: 63, Country: 1, Score: 526)
135. (ID: 4097, Country: 5, Score: 526)
136. (ID: 41, Country: 1, Score: 525)
137. (ID: 4033, Country: 5, Score: 525)
138. (ID: 4052, Country: 5, Score: 524)
139. (ID: 50, Country: 1, Score: 523)
140. (ID: 2012, Country: 3, Score: 523)
141. (ID: 4093, Country: 5, Score: 523)
142. (ID: 4094, Country: 5, Score: 523)
143. (ID: 78, Country: 1, Score: 522)
144. (ID: 2067, Country: 3, Score: 522)
145. (ID: 2089, Country: 3, Score: 520)
146. (ID: 4074, Country: 5, Score: 520)
147. (ID: 16, Country: 1, Score: 518)
148. (ID: 72, Country: 1, Score: 517)
149. (ID: 74, Country: 1, Score: 517)
150. (ID: 2084, Country: 3, Score: 516)
151. (ID: 3040, Country: 4, Score: 516)
152. (ID: 1065, Country: 2, Score: 514)
153. (ID: 2026, Country: 3, Score: 514)
154. (ID: 21, Country: 1, Score: 513)
155. (ID: 3004, Country: 4, Score: 512)
156. (ID: 3067, Country: 4, Score: 512)
157. (ID: 4053, Country: 5, Score: 512)
158. (ID: 49, Country: 1, Score: 511)
159. (ID: 4040, Country: 5, Score: 510)
160. (ID: 1045, Country: 2, Score: 509)
161. (ID: 2036, Country: 3, Score: 509)
162. (ID: 3032, Country: 4, Score: 509)
163. (ID: 3077, Country: 4, Score: 509)
164. (ID: 32, Country: 1, Score: 507)
165. (ID: 1083, Country: 2, Score: 507)
166. (ID: 2030, Country: 3, Score: 507)
167. (ID: 2046, Country: 3, Score: 507)
168. (ID: 2055, Country: 3, Score: 507)
169. (ID: 2086, Country: 3, Score: 504)
170. (ID: 3008, Country: 4, Score: 504)
171. (ID: 4068, Country: 5, Score: 504)
172. (ID: 1002, Country: 2, Score: 503)
173. (ID: 3048, Country: 4, Score: 501)
174. (ID: 4089, Country: 5, Score: 500)
175. (ID: 1022, Country: 2, Score: 499)
176. (ID: 3043, Country: 4, Score: 499)
177. (ID: 3071, Country: 4, Score: 499)
178. (ID: 4011, Country: 5, Score: 499)
179. (ID: 4, Country: 1, Score: 498)
180. (ID: 2021, Country: 3, Score: 497)
181. (ID: 3028, Country: 4, Score: 497)
182. (ID: 3041, Country: 4, Score: 497)
183. (ID: 4098, Country: 5, Score: 497)
184. (ID: 59, Country: 1, Score: 496)
185. (ID: 1011, Country: 2, Score: 496)
186. (ID: 4026, Country: 5, Score: 495)
187. (ID: 4092, Country: 5, Score: 495)
188. (ID: 2035, Country: 3, Score: 494)
189. (ID: 2044, Country: 3, Score: 494)
190. (ID: 2054, Country: 3, Score: 494)
191. (ID: 54, Country: 1, Score: 493)
192. (ID: 4018, Country: 5, Score: 493)
193. (ID: 4022, Country: 5, Score: 491)
194. (ID: 3015, Country: 4, Score: 488)
195. (ID: 1050, Country: 2, Score: 487)
196. (ID: 4056, Country: 5, Score: 487)
197. (ID: 2047, Country: 3, Score: 486)
198. (ID: 4023, Country: 5, Score: 486)
199. (ID: 4036, Country: 5, Score: 486)
200. (ID: 4060, Country: 5, Score: 485)
201. (ID: 12, Country: 1, Score: 484)
202. (ID: 1051, Country: 2, Score: 484)
203. (ID: 3014, Country: 4, Score: 484)
204. (ID: 70, Country: 1, Score: 482)
205. (ID: 1001, Country: 2, Score: 482)
206. (ID: 1006, Country: 2, Score: 482)
207. (ID: 1055, Country: 2, Score: 482)
208. (ID: 3060, Country: 4, Score: 482)
209. (ID: 2068, Country: 3, Score: 480)
210. (ID: 4095, Country: 5, Score: 480)
211. (ID: 2039, Country: 3, Score: 479)
212. (ID: 1047, Country: 2, Score: 478)
213. (ID: 3025, Country: 4, Score: 478)
214. (ID: 3070, Country: 4, Score: 478)
215. (ID: 4043, Country: 5, Score: 478)
216. (ID: 1018, Country: 2, Score: 477)
217. (ID: 1052, Country: 2, Score: 477)
218. (ID: 4082, Country: 5, Score: 476)
219. (ID: 1003, Country: 2, Score: 474)
220. (ID: 4016, Country: 5, Score: 473)
221. (ID: 4078, Country: 5, Score: 473)
222. (ID: 14, Country: 1, Score: 472)
223. (ID: 53, Country: 1, Score: 472)
224. (ID: 1033, Country: 2, Score: 472)
225. (ID: 3047, Country: 4, Score: 472)
226. (ID: 25, Country: 1, Score: 471)
227. (ID: 2002, Country: 3, Score: 471)
228. (ID: 3076, Country: 4, Score: 471)
229. (ID: 4048, Country: 5, Score: 471)
230. (ID: 81, Country: 1, Score: 470)
231. (ID: 82, Country: 1, Score: 470)
232. (ID: 3012, Country: 4, Score: 470)
233. (ID: 4072, Country: 5, Score: 470)
234. (ID: 2013, Country: 3, Score: 468)
235. (ID: 3017, Country: 4, Score: 466)
236. (ID: 4015, Country: 5, Score: 465)
237. (ID: 4081, Country: 5, Score: 463)
238. (ID: 18, Country: 1, Score: 461)
239. (ID: 1067, Country: 2, Score: 461)
240. (ID: 2040, Country: 3, Score: 461)
241. (ID: 73, Country: 1, Score: 460)
242. (ID: 4042, Country: 5, Score: 457)
243. (ID: 4067, Country: 5, Score: 457)
244. (ID: 77, Country: 1, Score: 456)
245. (ID: 5, Country: 1, Score: 455)
246. (ID: 3066, Country: 4, Score: 455)
247. (ID: 1044, Country: 2, Score: 454)
248. (ID: 2008, Country: 3, Score: 454)
249. (ID: 33, Country: 1, Score: 453)
250. (ID: 1089, Country: 2, Score: 453)
251. (ID: 3006, Country: 4, Score: 452)
252. (ID: 58, Country: 1, Score: 451)
253. (ID: 2088, Country: 3, Score: 450)
254. (ID: 3045, Country: 4, Score: 450)
255. (ID: 4055, Country: 5, Score: 450)
256. (ID: 4065, Country: 5, Score: 450)
257. (ID: 68, Country: 1, Score: 448)
258. (ID: 4010, Country: 5, Score: 447)
259. (ID: 4090, Country: 5, Score: 447)
260. (ID: 26, Country: 1, Score: 445)
261. (ID: 1042, Country: 2, Score: 445)
262. (ID: 4073, Country: 5, Score: 445)
263. (ID: 84, Country: 1, Score: 444)
264. (ID: 4037, Country: 5, Score: 444)
265. (ID: 34, Country: 1, Score: 442)
266. (ID: 1035, Country: 2, Score: 441)
267. (ID: 2020, Country: 3, Score: 441)
268. (ID: 1037, Country: 2, Score: 440)
269. (ID: 2018, Country: 3, Score: 440)
270. (ID: 2082, Country: 3, Score: 440)
271. (ID: 3078, Country: 4, Score: 440)
272. (ID: 4071, Country: 5, Score: 439)
273. (ID: 11, Country: 1, Score: 437)
274. (ID: 2045, Country: 3, Score: 437)
275. (ID: 3054, Country: 4, Score: 437)
276. (ID: 38, Country: 1, Score: 436)
277. (ID: 3038, Country: 4, Score: 436)
278. (ID: 1038, Country: 2, Score: 434)
279. (ID: 2031, Country: 3, Score: 434)
280. (ID: 3042, Country: 4, Score: 434)
281. (ID: 31, Country: 1, Score: 432)
282. (ID: 2037, Country: 3, Score: 432)
283. (ID: 43, Country: 1, Score: 431)
284. (ID: 2057, Country: 3, Score: 431)
285. (ID: 4019, Country: 5, Score: 431)
286. (ID: 4013, Country: 5, Score: 430)
287. (ID: 20, Country: 1, Score: 429)
288. (ID: 2075, Country: 3, Score: 428)
289. (ID: 1068, Country: 2, Score: 426)
290. (ID: 2019, Country: 3, Score: 426)
291. (ID: 2022, Country: 3, Score: 426)
292. (ID: 4083, Country: 5, Score: 422)
293. (ID: 4058, Country: 5, Score: 421)
294. (ID: 4051, Country: 5, Score: 421)
295. (ID: 45, Country: 1, Score: 417)
296. (ID: 3023, Country: 4, Score: 417)
297. (ID: 2064, Country: 3, Score: 416)
298. (ID: 1043, Country: 2, Score: 412)
299. (ID: 51, Country: 1, Score: 411)
300. (ID: 3029, Country: 4, Score: 410)
301. (ID: 3065, Country: 4, Score: 410)
302. (ID: 4002, Country: 5, Score: 409)
303. (ID: 2007, Country: 3, Score: 408)
304. (ID: 2059, Country: 3, Score: 408)
305. (ID: 2070, Country: 3, Score: 408)
306. (ID: 4061, Country: 5, Score: 408)
307. (ID: 30, Country: 1, Score: 407)
308. (ID: 2052, Country: 3, Score: 404)
309. (ID: 3019, Country: 4, Score: 403)
310. (ID: 37, Country: 1, Score: 401)
311. (ID: 3072, Country: 4, Score: 401)
312. (ID: 4062, Country: 5, Score: 401)
313. (ID: 1070, Country: 2, Score: 400)
314. (ID: 1088, Country: 2, Score: 400)
315. (ID: 3001, Country: 4, Score: 399)
316. (ID: 4084, Country: 5, Score: 399)
317. (ID: 4085, Country: 5, Score: 399)
318. (ID: 4049, Country: 5, Score: 398)
319. (ID: 69, Country: 1, Score: 396)
320. (ID: 4028, Country: 5, Score: 392)
321. (ID: 2080, Country: 3, Score: 391)
322. (ID: 3034, Country: 4, Score: 390)
323. (ID: 2078, Country: 3, Score: 388)
324. (ID: 2034, Country: 3, Score: 388)
325. (ID: 3075, Country: 4, Score: 388)
326. (ID: 29, Country: 1, Score: 386)
327. (ID: 1074, Country: 2, Score: 386)
328. (ID: 44, Country: 1, Score: 385)
329. (ID: 4087, Country: 5, Score: 385)
330. (ID: 2001, Country: 3, Score: 383)
331. (ID: 1085, Country: 2, Score: 382)
332. (ID: 23, Country: 1, Score: 379)
333. (ID: 76, Country: 1, Score: 375)
334. (ID: 1084, Country: 2, Score: 374)
335. (ID: 3020, Country: 4, Score: 363)
336. (ID: 2079, Country: 3, Score: 362)
337. (ID: 1057, Country: 2, Score: 360)
338. (ID: 1072, Country: 2, Score: 360)
339. (ID: 17, Country: 1, Score: 357)
340. (ID: 2004, Country: 3, Score: 357)
341. (ID: 3033, Country: 4, Score: 357)
342. (ID: 2073, Country: 3, Score: 355)
343. (ID: 4006, Country: 5, Score: 355)
344. (ID: 1054, Country: 2, Score: 352)
345. (ID: 1095, Country: 2, Score: 344)
346. (ID: 2027, Country: 3, Score: 343)
347. (ID: 4001, Country: 5, Score: 341)
348. (ID: 1030, Country: 2, Score: 340)
349. (ID: 85, Country: 1, Score: 337)
350. (ID: 1012, Country: 2, Score: 337)
351. (ID: 1082, Country: 2, Score: 336)
352. (ID: 2065, Country: 3, Score: 336)
353. (ID: 2066, Country: 3, Score: 336)
354. (ID: 52, Country: 1, Score: 334)
355. (ID: 3055, Country: 4, Score: 330)
356. (ID: 4088, Country: 5, Score: 329)
357. (ID: 2009, Country: 3, Score: 325)
358. (ID: 2016, Country: 3, Score: 325)
359. (ID: 4025, Country: 5, Score: 324)
360. (ID: 1046, Country: 2, Score: 319)
361. (ID: 27, Country: 1, Score: 311)
362. (ID: 4075, Country: 5, Score: 305)
363. (ID: 4086, Country: 5, Score: 303)
364. (ID: 1049, Country: 2, Score: 292)
365. (ID: 1076, Country: 2, Score: 292)
366. (ID: 4008, Country: 5, Score: 283)
367. (ID: 4012, Country: 5, Score: 275)
368. (ID: 1091, Country: 2, Score: 272)
369. (ID: 3036, Country: 4, Score: 78)
370. (ID: 3026, Country: 4, Score: 56)
